key,name,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,tag1,tag2,playrate,winrate
84,Akali,570.0,119,200.0,0.0,345,23,4.7,37.0,2.05,125,9.0,0.9,50.0,0.0,0,0,62.0,3.3,3.2,0.625,Assassin,,0.081,0.478
245,Ekko,655.0,99,280.0,70.0,340,32,4.2,32.0,2.05,125,9.0,0.9,7.0,0.8,0,0,58.0,3.0,3.3,0.688,Assassin,Fighter,0.078,0.499
28,Evelynn,642.0,98,315.0,42.0,335,37,4.7,32.1,2.05,125,8.5,0.75,8.11,0.6,0,0,61.0,3.0,2.1,0.667,Assassin,Mage,0.023,0.472
105,Fizz,640.0,106,317.0,52.0,335,22,4.6,32.0,2.05,175,8.0,0.7,6.0,0.8,0,0,58.0,3.0,3.1,0.658,Assassin,Fighter,0.019,0.486
38,Kassadin,646.0,119,400.0,87.0,335,19,4.0,30.0,1.3,150,6.0,0.5,6.0,0.8,0,0,59.0,3.9,3.7,0.64,Assassin,Mage,0.055,0.529
55,Katarina,672.0,108,0.0,0.0,335,28,4.7,32.0,2.05,125,7.5,0.7,0.0,0.0,0,0,58.0,3.2,2.74,0.658,Assassin,Mage,0.071,0.504
121,Kha'Zix,643.0,99,327.0,40.0,350,36,4.2,32.0,2.05,125,7.5,0.75,7.59,0.5,0,0,63.0,3.1,2.7,0.668,Assassin,,0.063,0.516
7,LeBlanc,598.0,111,334.0,50.0,340,22,4.7,30.0,1.3,525,7.5,0.55,6.0,0.8,0,0,55.0,3.5,1.4,0.625,Assassin,Mage,0.032,0.455
11,Master Yi,669.0,100,251.0,42.0,355,33,4.2,32.0,2.05,125,7.5,0.65,7.26,0.45,0,0,66.0,3.0,2.0,0.679,Assassin,Fighter,0.019,0.472
76,Nidalee,610.0,109,295.0,45.0,335,28,4.7,30.0,1.3,525,6.0,0.6,6.0,0.8,0,0,58.0,3.5,3.22,0.638,Assassin,Mage,0.059,0.5
56,Nocturne,655.0,109,275.0,35.0,345,38,4.7,32.0,1.55,125,7.0,0.75,7.0,0.45,0,0,62.0,3.1,2.7,0.721,Assassin,Fighter,0.02,0.481
246,Qiyana,590.0,124,320.0,50.0,335,28,4.7,32.0,2.05,150,6.0,0.9,8.0,0.7,0,0,66.0,3.1,2.1,0.688,Assassin,Fighter,0.074,0.538
107,Rengar,620.0,104,4.0,0.0,345,34,4.2,32.0,2.05,125,7.0,0.5,0.0,0.0,0,0,68.0,3.0,3.0,0.667,Assassin,Fighter,0.065,0.529
35,Shaco,630.0,99,297.0,40.0,345,30,4.0,32.0,2.05,125,8.5,0.55,7.16,0.45,0,0,63.0,3.0,3.0,0.694,Assassin,,0.034,0.477
91,Talon,658.0,109,377.2,37.0,335,30,4.7,39.0,2.05,125,8.5,0.75,7.6,0.8,0,0,68.0,3.1,2.9,0.625,Assassin,,0.069,0.483
234,Viego,630.0,109,10000.0,0.0,345,34,5.2,32.0,2.05,200,7.0,0.7,0.0,0.0,0,0,57.0,3.5,2.5,0.658,Assassin,Fighter,0.137,0.473
777,Yone,620.0,99,500.0,0.0,345,28,4.6,32.0,2.05,175,7.5,0.75,0.0,0.0,0,0,60.0,2.0,3.5,0.625,Assassin,Fighter,0.172,0.498
238,Zed,654.0,99,200.0,0.0,345,32,4.7,32.0,2.05,125,7.0,0.65,50.0,0.0,0,0,63.0,3.4,3.3,0.651,Assassin,,0.082,0.487
