key,name,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,tag1,tag2,playrate,winrate
266,Aatrox,650.0,104,0.0,0.0,345,38,4.45,32.0,2.05,175,3.0,1.0,0.0,0.0,0,0,60.0,5.0,2.5,0.651,Fighter,Tank,0.097,0.493
200,Bel'Veth,610.0,105,6.0,0.0,340,32,4.7,32.0,2.05,175,6.0,0.6,0.0,0.0,0,0,60.0,2.0,0.0,0.85,Fighter,,0.099,0.501
164,Camille,646.0,99,339.0,52.0,340,35,5.0,32.1,2.05,125,8.5,0.8,8.15,0.75,0,0,68.0,3.5,2.5,0.644,Fighter,Tank,0.076,0.508
122,Darius,652.0,114,263.0,57.5,340,39,5.2,32.0,2.05,175,10.0,0.95,6.6,0.35,0,0,64.0,5.0,1.0,0.625,Fighter,Tank,0.087,0.506
131,Diana,640.0,109,375.0,25.0,345,31,4.3,32.0,2.05,150,6.5,0.85,8.0,0.8,0,0,57.0,3.0,2.25,0.625,Fighter,Mage,0.132,0.508
36,Dr. Mundo,653.0,103,0.0,0.0,345,32,4.2,32.0,2.05,125,6.5,0.75,0.0,0.0,0,0,61.0,3.5,3.3,0.72,Fighter,Tank,0.019,0.467
114,Fiora,620.0,99,300.0,60.0,345,33,4.7,32.0,2.05,150,8.5,0.55,8.0,0.7,0,0,68.0,3.3,3.2,0.69,Fighter,Assassin,0.085,0.491
41,Gangplank,640.0,104,280.0,60.0,345,35,4.2,32.0,2.05,125,6.0,0.6,7.5,0.7,0,0,64.0,4.0,3.2,0.658,Fighter,,0.108,0.484
86,Garen,690.0,98,0.0,0.0,340,36,4.2,32.0,1.55,175,8.0,0.5,0.0,0.0,0,0,66.0,4.5,3.65,0.625,Fighter,Tank,0.038,0.507
150,Gnar,580.0,79,100.0,0.0,335,32,3.7,30.0,1.3,175,4.5,1.75,0.0,0.0,0,0,57.0,3.0,6.0,0.625,Fighter,Tank,0.091,0.513
79,Gragas,670.0,109,400.0,47.0,330,38,4.8,32.0,2.05,125,5.5,0.5,6.0,0.8,0,0,64.0,3.5,2.05,0.675,Fighter,Mage,0.1,0.518
887,Gwen,660.0,109,330.0,40.0,340,39,5.2,32.0,2.05,150,8.5,0.55,7.5,0.7,0,0,63.0,3.0,2.25,0.69,Fighter,Assassin,0.049,0.465
120,Hecarim,650.0,104,277.0,60.0,345,35,5.45,32.0,2.05,175,7.0,0.75,6.5,0.6,0,0,66.0,3.2,2.5,0.67,Fighter,Tank,0.036,0.459
420,Illaoi,656.0,109,300.0,50.0,350,35,5.0,32.0,2.05,125,9.5,0.8,7.5,0.75,0,0,68.0,5.0,2.5,0.625,Fighter,Tank,0.019,0.512
39,Irelia,590.0,124,350.0,50.0,335,36,4.2,28.0,2.05,200,8.5,0.85,8.0,0.8,0,0,65.0,4.0,2.5,0.656,Fighter,Assassin,0.087,0.49
24,Jax,685.0,99,339.0,52.0,350,36,4.2,32.0,2.05,125,8.5,0.55,7.58,0.7,0,0,68.0,4.25,3.4,0.638,Fighter,Assassin,0.062,0.508
126,Jayce,590.0,109,375.0,45.0,335,22,5.0,30.0,1.3,125,6.0,0.6,6.0,0.8,0,0,54.0,4.25,3.0,0.658,Fighter,Marksman,0.043,0.488
10,Kayle,670.0,92,330.0,50.0,335,26,4.2,22.0,1.3,175,5.0,0.5,8.0,0.8,0,0,50.0,2.5,1.5,0.625,Fighter,Support,0.074,0.506
141,Kayn,655.0,99,410.0,50.0,340,38,4.5,32.0,2.05,175,8.0,0.75,11.5,0.95,0,0,68.0,3.3,2.7,0.669,Fighter,Assassin,0.105,0.512
240,Kled,410.0,84,100.0,0.0,345,35,5.2,28.0,2.05,125,6.0,0.75,0.0,0.0,0,0,65.0,3.5,3.5,0.625,Fighter,Tank,0.016,0.503
64,Lee Sin,645.0,99,200.0,0.0,345,36,4.9,32.0,2.05,125,7.5,0.7,50.0,0.0,0,0,68.0,3.7,3.0,0.651,Fighter,Assassin,0.137,0.474
876,Lillia,625.0,104,410.0,50.0,330,22,5.2,32.0,1.55,325,2.5,0.55,11.5,0.95,0,0,61.0,3.1,2.7,0.625,Fighter,Mage,0.07,0.491
62,Wukong,610.0,99,300.0,65.0,345,31,4.7,28.0,2.05,175,2.5,0.65,8.0,0.65,0,0,68.0,3.5,3.0,0.711,Fighter,Tank,0.137,0.511
82,Mordekaiser,645.0,104,100.0,0.0,335,37,4.2,32.0,2.05,175,5.0,0.75,0.0,0.0,0,0,61.0,4.0,1.0,0.625,Fighter,,0.063,0.488
75,Nasus,631.0,104,326.0,62.0,350,34,4.7,32.0,2.05,125,9.0,0.9,7.44,0.5,0,0,67.0,3.5,3.48,0.638,Fighter,Tank,0.021,0.484
2,Olaf,645.0,119,316.0,50.0,350,35,4.2,32.0,2.05,125,8.5,0.9,7.5,0.6,0,0,68.0,4.7,2.7,0.694,Fighter,Tank,0.046,0.517
80,Pantheon,650.0,109,317.12,31.0,345,40,4.95,28.0,2.05,175,7.5,0.65,7.36,0.45,0,0,64.0,3.3,2.95,0.644,Fighter,Assassin,0.033,0.483
421,Rek'Sai,640.0,99,100.0,0.0,335,36,4.95,32.0,2.05,175,7.5,0.65,0.0,0.0,0,0,64.0,3.0,2.0,0.667,Fighter,,0.039,0.536
58,Renekton,660.0,111,100.0,0.0,345,35,5.2,32.0,2.05,125,8.0,0.75,0.0,0.0,0,0,69.0,4.15,2.75,0.665,Fighter,Tank,0.041,0.484
92,Riven,630.0,100,0.0,0.0,340,33,4.4,32.0,2.05,125,8.5,0.5,0.0,0.0,0,0,64.0,3.0,3.5,0.625,Fighter,Assassin,0.056,0.508
68,Rumble,659.0,99,100.0,0.0,345,36,4.7,28.0,1.55,125,8.0,0.6,0.0,0.0,0,0,61.0,3.2,1.85,0.644,Fighter,Mage,0.032,0.487
875,Sett,670.0,114,0.0,0.0,340,33,5.2,32.0,2.05,125,7.0,0.5,0.0,0.0,0,0,60.0,4.0,1.75,0.625,Fighter,Tank,0.05,0.485
102,Shyvana,665.0,109,100.0,0.0,350,38,4.55,32.0,2.05,125,8.5,0.8,0.0,0.0,0,0,66.0,3.4,2.5,0.658,Fighter,Tank,0.036,0.479
72,Skarner,650.0,99,320.0,60.0,335,38,5.0,32.0,2.05,125,9.0,0.85,7.2,0.45,0,0,65.0,4.5,2.1,0.625,Fighter,Tank,0.011,0.505
48,Trundle,686.0,110,281.0,45.0,350,37,3.9,32.0,2.05,175,6.0,0.75,7.5,0.6,0,0,68.0,3.0,2.9,0.67,Fighter,Tank,0.039,0.512
23,Tryndamere,696.0,112,100.0,0.0,345,33,4.3,32.0,2.05,125,8.5,0.9,0.0,0.0,0,0,72.0,3.7,2.9,0.67,Fighter,Assassin,0.038,0.508
77,Udyr,664.0,106,271.0,50.0,350,34,5.2,32.0,2.05,125,6.0,0.75,7.5,0.45,0,0,64.0,5.0,2.67,0.658,Fighter,Tank,0.036,0.498
6,Urgot,655.0,102,340.0,45.0,330,36,5.45,32.0,2.05,350,7.5,0.7,7.25,0.8,0,0,63.0,4.0,3.75,0.625,Fighter,Tank,0.016,0.515
254,Vi,655.0,99,295.0,65.0,340,30,4.7,32.0,2.05,125,10.0,1.0,8.0,0.65,0,0,63.0,3.0,2.0,0.644,Fighter,Assassin,0.023,0.492
106,Volibear,650.0,104,350.0,70.0,340,31,5.2,32.0,2.05,150,9.0,0.75,6.25,0.5,0,0,60.0,3.5,2.0,0.625,Fighter,Tank,0.127,0.518
19,Warwick,620.0,99,280.0,35.0,335,33,4.4,32.0,2.05,125,4.0,0.75,7.47,0.58,0,0,65.0,3.0,2.3,0.638,Fighter,Tank,0.025,0.503
5,Xin Zhao,640.0,106,274.0,55.0,345,35,4.7,32.0,2.05,175,8.0,0.7,7.26,0.45,0,0,63.0,3.0,3.5,0.645,Fighter,Assassin,0.03,0.491
157,Yasuo,590.0,101,100.0,0.0,345,30,4.6,32.0,2.05,175,6.5,0.9,0.0,0.0,0,0,60.0,3.0,3.5,0.697,Fighter,Assassin,0.136,0.501
83,Yorick,650.0,114,300.0,60.0,340,39,5.2,32.0,2.05,175,8.0,0.8,7.5,0.75,0,0,62.0,5.0,2.0,0.625,Fighter,Tank,0.014,0.488
