key,name,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,tag1,tag2,playrate,winrate
166,Akshan,630.0,104,350.0,40.0,330,26,4.2,30.0,1.3,500,3.75,0.65,8.175,0.7,0,0,52.0,3.5,4.0,0.638,Marksman,Assassin,0.055,0.52
523,Aphelios,580.0,102,348.0,42.0,325,26,4.2,30.0,1.3,550,3.25,0.55,6.5,0.4,0,0,55.0,3.0,2.1,0.64,Marksman,,0.065,0.476
22,Ashe,640.0,101,280.0,32.0,325,26,4.6,30.0,1.3,600,3.5,0.55,6.97,0.4,0,0,59.0,2.96,3.33,0.658,Marksman,Support,0.124,0.486
51,Caitlyn,580.0,107,315.0,35.0,325,28,4.7,30.0,1.3,650,3.5,0.55,7.4,0.55,0,0,62.0,3.4,4.0,0.681,Marksman,,0.053,0.482
42,Corki,588.0,101,350.0,54.0,325,28,4.7,30.0,1.3,550,5.5,0.55,7.42,0.55,0,0,55.0,2.5,2.3,0.638,Marksman,,0.065,0.469
119,Draven,675.0,104,360.56,39.0,330,29,4.5,30.0,1.3,550,3.75,0.7,8.04,0.65,0,0,62.0,3.61,2.7,0.679,Marksman,,0.106,0.511
81,Ezreal,600.0,102,375.0,70.0,325,24,4.7,30.0,1.3,550,4.0,0.65,8.5,0.65,0,0,60.0,2.5,2.5,0.625,Marksman,Mage,0.272,0.475
104,Graves,625.0,106,325.0,40.0,340,33,4.6,32.0,2.05,425,8.0,0.7,8.0,0.7,0,0,68.0,4.0,2.6,0.475,Marksman,,0.104,0.486
202,Jhin,655.0,107,300.0,50.0,330,24,4.7,30.0,1.3,550,3.75,0.55,6.0,0.8,0,0,59.0,4.7,0.0,0.625,Marksman,Mage,0.141,0.506
222,Jinx,630.0,100,245.0,45.0,325,26,4.7,30.0,1.3,525,3.75,0.5,6.7,1.0,0,0,57.0,3.4,1.0,0.625,Marksman,,0.077,0.494
145,Kai'Sa,670.0,102,344.88,38.0,335,28,4.2,30.0,1.3,525,3.5,0.55,8.2,0.45,0,0,59.0,2.0,1.8,0.644,Marksman,,0.14,0.488
429,Kalista,604.0,114,300.0,45.0,330,24,5.2,30.0,1.3,525,3.75,0.55,6.3,0.4,0,0,69.0,3.5,4.5,0.694,Marksman,,0.106,0.511
203,Kindred,610.0,99,300.0,35.0,325,29,4.7,30.0,1.3,500,7.0,0.55,7.0,0.4,0,0,65.0,2.5,3.5,0.625,Marksman,,0.075,0.522
96,Kog'Maw,635.0,99,325.0,40.0,330,24,4.45,30.0,1.3,500,3.75,0.55,8.75,0.7,0,0,61.0,3.11,2.65,0.665,Marksman,Mage,0.038,0.518
236,Lucian,641.0,100,348.88,38.0,335,28,4.2,30.0,1.3,500,3.75,0.65,8.18,0.7,0,0,60.0,2.9,3.3,0.638,Marksman,,0.108,0.487
21,Miss Fortune,640.0,107,300.0,35.0,325,28,4.2,30.0,1.3,550,3.75,0.65,8.04,0.65,0,0,52.0,2.7,3.0,0.656,Marksman,,0.06,0.495
133,Quinn,603.0,99,269.0,35.0,335,28,4.7,30.0,1.3,525,5.5,0.55,6.97,0.4,0,0,59.0,2.4,3.1,0.668,Marksman,Assassin,0.013,0.504
360,Samira,600.0,108,348.88,38.0,335,26,4.7,30.0,1.3,500,3.25,0.55,8.18,0.7,0,0,57.0,3.3,3.3,0.658,Marksman,,0.078,0.495
235,Senna,560.0,89,350.0,45.0,330,28,4.7,30.0,1.3,600,3.5,0.55,11.5,0.4,0,0,50.0,0.0,4.0,0.625,Marksman,Support,0.15,0.508
15,Sivir,632.0,104,325.0,50.0,335,26,4.45,30.0,1.3,500,3.25,0.55,8.0,0.9,0,0,63.0,3.0,1.6,0.625,Marksman,,0.013,0.494
17,Teemo,598.0,104,334.0,20.0,330,24,4.95,30.0,1.3,500,5.5,0.65,9.6,0.45,0,0,54.0,3.0,3.38,0.69,Marksman,Assassin,0.017,0.478
18,Tristana,670.0,102,250.0,32.0,325,26,4.2,30.0,1.3,525,4.0,0.65,7.2,0.45,0,0,59.0,3.7,1.5,0.656,Marksman,Assassin,0.053,0.5
29,Twitch,682.0,100,287.2,40.0,330,27,4.2,30.0,1.3,550,3.75,0.6,7.26,0.45,0,0,59.0,3.11,3.38,0.679,Marksman,Assassin,0.14,0.512
110,Varus,600.0,105,360.0,40.0,330,27,4.6,30.0,1.3,575,3.5,0.55,8.0,0.8,0,0,59.0,3.4,4.0,0.658,Marksman,Mage,0.021,0.461
67,Vayne,550.0,103,231.8,35.0,330,23,4.6,30.0,1.3,550,3.5,0.55,6.97,0.4,0,0,60.0,2.36,3.3,0.658,Marksman,Assassin,0.092,0.509
498,Xayah,660.0,102,340.0,40.0,330,25,4.2,30.0,1.3,525,3.25,0.75,8.25,0.75,0,0,60.0,3.5,3.9,0.625,Marksman,,0.049,0.489
221,Zeri,600.0,109,250.0,45.0,325,20,4.2,30.0,1.3,500,3.25,0.7,6.0,0.8,0,0,50.0,1.5,2.0,0.658,Marksman,,0.195,0.507
