key,name,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,tag1,tag2,playrate,winrate
432,Bard,630.0,103,350.0,50.0,330,34,5.2,30.0,1.3,500,5.5,0.55,6.0,0.45,0,0,52.0,3.0,2.0,0.625,Support,Mage,0.056,0.53
201,Braum,610.0,112,311.0,45.0,335,47,5.2,32.0,2.05,125,8.5,1.0,6.0,0.8,0,0,55.0,3.2,3.5,0.644,Support,Tank,0.023,0.493
427,Ivern,655.0,99,450.0,60.0,330,27,4.7,32.0,2.05,475,7.0,0.85,6.0,0.75,0,0,50.0,3.0,3.4,0.644,Support,Mage,0.02,0.501
40,Janna,570.0,84,350.0,64.0,325,28,5.0,30.0,1.3,500,5.5,0.55,11.5,0.4,0,0,52.0,3.0,3.0,0.625,Support,Mage,0.082,0.527
117,Lulu,595.0,88,350.0,55.0,330,29,4.9,30.0,1.3,550,6.0,0.6,11.0,0.6,0,0,47.0,2.6,2.25,0.625,Support,Mage,0.133,0.501
267,Nami,560.0,88,365.0,43.0,335,29,5.2,30.0,1.3,550,5.5,0.55,11.5,0.4,0,0,51.0,3.1,2.61,0.644,Support,Mage,0.112,0.498
555,Pyke,670.0,104,415.0,50.0,330,45,4.7,32.0,2.05,150,7.0,0.5,8.0,1.0,0,0,62.0,2.0,2.5,0.667,Support,Assassin,0.098,0.501
497,Rakan,610.0,99,315.0,50.0,335,32,5.1,32.0,2.05,300,5.0,0.5,8.75,0.5,0,0,62.0,3.5,3.0,0.635,Support,,0.079,0.518
888,Renata Glasc,595.0,94,350.0,50.0,330,27,4.7,30.0,1.3,550,5.5,0.55,11.5,0.5,0,0,51.0,3.0,2.11,0.625,Support,Mage,0.137,0.521
37,Sona,550.0,91,340.0,45.0,325,26,4.2,30.0,1.3,550,5.5,0.55,11.5,0.4,0,0,49.0,3.0,2.3,0.644,Support,Mage,0.047,0.514
16,Soraka,605.0,88,425.0,40.0,325,32,5.0,30.0,1.3,550,2.5,0.5,11.5,0.4,0,0,50.0,3.0,2.14,0.625,Support,Mage,0.072,0.504
223,Tahm Kench,640.0,109,325.0,50.0,335,42,4.7,32.0,2.05,175,6.5,0.55,8.0,1.0,0,0,56.0,3.2,2.5,0.658,Support,Tank,0.056,0.524
44,Taric,645.0,99,300.0,60.0,340,40,4.6,32.0,2.05,150,6.0,0.5,8.5,0.8,0,0,55.0,3.5,2.0,0.625,Support,Fighter,0.032,0.551
412,Thresh,600.0,115,274.0,44.0,330,28,0.0,30.0,1.3,450,7.0,0.55,6.0,0.8,0,0,56.0,2.2,3.5,0.625,Support,Fighter,0.06,0.502
350,Yuumi,550.0,84,400.0,45.0,330,25,4.2,25.0,1.1,500,7.0,0.55,10.0,0.4,0,0,55.0,3.1,1.0,0.625,Support,Mage,0.145,0.497
26,Zilean,574.0,96,452.0,50.0,335,24,5.0,30.0,1.3,550,5.5,0.5,11.34,0.8,0,0,52.0,3.0,2.13,0.625,Support,Mage,0.056,0.509
