key,name,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,tag1,tag2,playrate,winrate
12,Alistar,670.0,120,350.0,40.0,330,44,4.7,32.0,2.05,125,8.5,0.85,8.5,0.8,0,0,62.0,3.75,2.125,0.625,Tank,Support,0.027,0.491
32,Amumu,685.0,89,285.0,40.0,335,30,4.2,32.0,2.05,125,9.0,0.85,7.38,0.53,0,0,53.0,3.8,2.18,0.736,Tank,Mage,0.044,0.512
53,Blitzcrank,653.0,109,267.0,40.0,325,40,4.7,32.0,2.05,125,7.5,0.75,8.5,0.8,0,0,62.0,3.5,1.13,0.625,Tank,Fighter,0.051,0.507
31,Cho'Gath,644.0,94,270.0,60.0,345,38,4.7,32.0,2.05,125,9.0,0.85,7.2,0.45,0,0,69.0,4.2,1.44,0.625,Tank,Mage,0.018,0.489
3,Galio,632.0,126,500.0,40.0,335,24,4.7,32.0,2.05,150,8.0,0.8,9.5,0.7,0,0,59.0,3.5,1.5,0.625,Tank,Mage,0.027,0.476
59,Jarvan IV,640.0,104,300.0,55.0,340,34,4.8,32.0,2.05,175,8.0,0.7,6.5,0.45,0,0,64.0,3.4,2.5,0.658,Tank,Fighter,0.031,0.507
89,Leona,646.0,101,302.0,40.0,335,47,4.8,32.0,2.05,125,8.5,0.85,6.0,0.8,0,0,60.0,3.0,2.9,0.625,Tank,Support,0.036,0.463
54,Malphite,644.0,104,280.0,60.0,335,37,4.95,28.0,2.05,125,7.0,0.55,7.32,0.55,0,0,62.0,4.0,3.4,0.736,Tank,Fighter,0.033,0.49
57,Maokai,635.0,109,375.0,43.0,335,39,5.2,32.0,2.05,125,5.0,0.75,7.2,0.6,0,0,64.0,3.3,2.125,0.8,Tank,Mage,0.013,0.518
111,Nautilus,646.0,100,400.0,47.0,325,39,4.95,32.0,2.05,175,8.5,0.55,8.63,0.5,0,0,61.0,3.3,1.0,0.706,Tank,Support,0.115,0.489
20,Nunu & Willump,610.0,90,280.0,42.0,345,29,4.2,32.0,2.05,125,5.0,0.8,7.0,0.5,0,0,61.0,3.0,2.25,0.625,Tank,Fighter,0.036,0.51
516,Ornn,660.0,109,340.6,65.0,335,33,5.2,32.0,2.05,175,9.0,0.9,8.01,0.6,0,0,69.0,3.5,2.0,0.625,Tank,Fighter,0.068,0.497
78,Poppy,610.0,104,280.0,40.0,345,38,4.7,32.0,2.05,125,8.0,0.8,7.0,0.7,0,0,64.0,4.0,2.5,0.625,Tank,Fighter,0.043,0.505
33,Rammus,634.0,94,310.0,33.0,335,36,5.5,32.0,2.05,125,8.0,0.55,7.84,0.5,0,0,56.0,3.5,2.215,0.656,Tank,Fighter,0.026,0.495
526,Rell,610.0,104,350.0,45.0,335,32,4.2,32.1,2.05,175,7.0,0.55,6.0,0.35,0,0,55.0,3.0,2.0,0.55,Tank,Support,0.017,0.509
113,Sejuani,630.0,114,400.0,40.0,340,34,5.45,32.0,2.05,150,8.5,1.0,7.0,0.7,0,0,66.0,4.0,3.5,0.688,Tank,Fighter,0.059,0.509
98,Shen,610.0,99,400.0,0.0,340,34,4.2,32.0,2.05,125,8.5,0.75,50.0,0.0,0,0,60.0,3.0,3.0,0.751,Tank,,0.045,0.541
27,Singed,650.0,99,330.0,45.0,345,34,4.7,32.0,2.05,125,9.5,0.55,7.5,0.55,0,0,63.0,3.38,1.9,0.613,Tank,Fighter,0.026,0.471
14,Sion,615.0,87,330.0,42.0,345,32,4.2,32.0,2.05,175,7.5,0.8,8.0,0.6,0,0,68.0,4.0,1.3,0.679,Tank,Fighter,0.031,0.486
154,Zac,685.0,109,0.0,0.0,340,33,4.7,32.0,2.05,175,8.0,0.5,0.0,0.0,0,0,60.0,3.4,1.6,0.736,Tank,Fighter,0.063,0.525
